code,failed,n_inferred_terminal_states,fixed_terminal,spearman_stat_pseudotime,spearman_pval_pseudotime,kendall_stat_pseudotime,kendall_pval_pseudotime,jsd,tts,ttp,ttc,tsr,temporal_state_score,pearson_stat_KLD,pearson_pval_KLD,pearson_stat_SHE,pearson_pval_SHE,spearman_stat_KLD,spearman_pval_KLD,spearman_stat_SHE,spearman_pval_SHE,fate_index_stat,fate_index_pval,terminal_silhouette_soft,terminal_silhouette_pse,terminal_enrichment,n_terminal_states
five_branches_False_0.1_0.7_30,False,,False,,,,,,0.348937336837135,1.0,0.9378441590725165,0.4,0.6014984711982603,0.4796274722190838,1.1663448842696112e-58,-0.837779821941753,1.5985630842648925e-264,0.7270623741990394,3.569871401719796e-165,-0.8002929025828184,6.476962449311525e-224,0.8002844896660137,6.599215768272442e-224,0.6814397372215828,0.8685050538201915,0.35735735735735735,2
five_branches_False_0.1_0.7_70,False,,False,,,,,,0.348937336837135,1.0,0.9378441590725165,0.4,0.6014984711982603,0.4796274722190838,1.1663448842696112e-58,-0.837779821941753,1.5985630842648925e-264,0.7270623741990394,3.569871401719796e-165,-0.8002929025828184,6.476962449311525e-224,0.8002844896660137,6.599215768272442e-224,0.6814397372215828,0.8685050538201915,0.35735735735735735,2
five_branches_False_0.1_0.7_50,False,,False,,,,,,0.348937336837135,1.0,0.9378441590725165,0.4,0.6014984711982603,0.4796274722190838,1.1663448842696112e-58,-0.837779821941753,1.5985630842648925e-264,0.7270623741990394,3.569871401719796e-165,-0.8002929025828184,6.476962449311525e-224,0.8002844896660137,6.599215768272442e-224,0.6814397372215828,0.8685050538201915,0.35735735735735735,2
five_branches_False_0.1_0.7_10,False,,False,,,,,,0.348937336837135,1.0,0.9378441590725165,0.4,0.6014984711982603,0.4796274722190838,1.1663448842696112e-58,-0.837779821941753,1.5985630842648925e-264,0.7270623741990394,3.569871401719796e-165,-0.8002929025828184,6.476962449311525e-224,0.8002844896660137,6.599215768272442e-224,0.6814397372215828,0.8685050538201915,0.35735735735735735,2
five_branches_True_0.1_0.7_30,False,,True,,,,,"{""values"": [0.2002141820802949, 0.34573648167997123, 0.2382165581568746], ""index"": [""committed"", ""multipotent"", ""totipotent""]}",0.9571639109576466,1.0,0.9628672823315544,1.0,0.9798016948492461,0.8263470851766334,4.133646106023644e-251,-0.7891569261161833,1.706549038830141e-213,0.85550014990519,1.6060302665031976e-287,-0.821541170731916,9.203782451437903e-246,0.8066935600094834,3.2930889426266237e-230,0.4704605334118344,0.6775666942097315,0.33753753753753757,5
five_branches_True_0.1_0.7_70,False,,True,,,,,"{""values"": [0.2002141820802949, 0.34573648167997123, 0.2382165581568746], ""index"": [""committed"", ""multipotent"", ""totipotent""]}",0.9571639109576466,1.0,0.9628672823315544,1.0,0.9798016948492461,0.8263470851766334,4.133646106023644e-251,-0.7891569261161833,1.706549038830141e-213,0.85550014990519,1.6060302665031976e-287,-0.821541170731916,9.203782451437903e-246,0.8066935600094834,3.2930889426266237e-230,0.4704605334118344,0.6775666942097315,0.33753753753753757,5
five_branches_True_0.1_0.7_50,False,,True,,,,,"{""values"": [0.2002141820802949, 0.34573648167997123, 0.2382165581568746], ""index"": [""committed"", ""multipotent"", ""totipotent""]}",0.9571639109576466,1.0,0.9628672823315544,1.0,0.9798016948492461,0.8263470851766334,4.133646106023644e-251,-0.7891569261161833,1.706549038830141e-213,0.85550014990519,1.6060302665031976e-287,-0.821541170731916,9.203782451437903e-246,0.8066935600094834,3.2930889426266237e-230,0.4704605334118344,0.6775666942097315,0.33753753753753757,5
five_branches_True_0.1_0.7_10,False,,True,,,,,"{""values"": [0.2002141820802949, 0.34573648167997123, 0.2382165581568746], ""index"": [""committed"", ""multipotent"", ""totipotent""]}",0.9571639109576466,1.0,0.9628672823315544,1.0,0.9798016948492461,0.8263470851766334,4.133646106023644e-251,-0.7891569261161833,1.706549038830141e-213,0.85550014990519,1.6060302665031976e-287,-0.821541170731916,9.203782451437903e-246,0.8066935600094834,3.2930889426266237e-230,0.4704605334118344,0.6775666942097315,0.33753753753753757,5
three_branches_False_0.7_0.7_10,False,,False,,,,,,0.963310642906261,1.0,0.9622212179416832,1.0,0.9812062863285134,0.7587740569630815,5.1431820536611995e-188,-0.5914081655714516,2.2497609489854928e-95,0.8210756163615932,2.9746116103563757e-245,-0.6469356628537836,1.2345708408435047e-119,0.6217585000610346,4.9874949228316575e-108,0.7549736068589852,0.8685959663866204,0.4544544544544544,3
three_branches_True_0.7_0.7_10,False,,True,,,,,"{""values"": [0.08694159953661626, 0.3296210199946314], ""index"": [""committed"", ""totipotent""]}",0.9641934470763224,1.0,0.9646509502507788,1.0,0.9820499842343677,0.7588901410444423,4.179804652994735e-188,-0.5916613900709677,1.7868280198681187e-95,0.8215168971877009,9.78511679212511e-246,-0.6483720754748438,2.4889107009153634e-120,0.621264423465447,8.224111872062353e-108,0.7550575659132372,0.8686158755654008,0.4556222889556223,3
