code,failed,n_inferred_terminal_states,fixed_terminal,spearman_stat_pseudotime,spearman_pval_pseudotime,kendall_stat_pseudotime,kendall_pval_pseudotime,jsd,tts,ttp,ttc,tsr,temporal_state_score,pearson_stat_KLD,pearson_pval_KLD,pearson_stat_SHE,pearson_pval_SHE,spearman_stat_KLD,spearman_pval_KLD,spearman_stat_SHE,spearman_pval_SHE,fate_index_stat,fate_index_pval,terminal_silhouette_soft,terminal_silhouette_pse,terminal_enrichment,n_terminal_states
five_branches_False_0.1_0.7_70,False,,False,-0.40901977301977305,1.2969262966129752e-41,-0.31491891891891893,2.761347996562532e-50,,0.0,0.0,0,0.0,0.0,,,,,,,,,0.9614091210583928,0.0,0,0,0.30080080080080085,1
three_branches_False_0.1_0.9_10,False,,False,0.0198985038985039,0.5296625884084113,0.06390390390390391,0.002478678203984096,,0.32326346664390077,1.0,1.0,0.33333333333333337,0.5729396030176205,,,,,,,,,-0.9907664529138321,0.0,0,0,0.5,1
five_branches_False_0.1_0.7_50,False,,False,-0.4075420795420796,2.6808304947967894e-41,-0.3102102102102102,7.598857497905046e-49,,0.0,0.0,0,0.0,0.0,,,,,,,,,0.9461292962307083,0.0,0,0,0.29979979979979976,1
three_branches_False_0.1_0.9_30,False,,False,0.07859374259374259,0.012915519723476016,0.0787907907907908,0.00019083818725622217,,,,,,,,,,,,,,,,,,,,0
three_branches_False_0.7_0.7_70,False,,False,0.8175340335340335,2.0002869784593403e-241,0.6332932932932933,1.4389058832420132e-197,,0.324230381863642,1.0,1.0,0.33333333333333337,0.5733675540366203,,,,,,,,,-0.36423565625614246,9.832984325113035e-33,0,0,0.5,1
three_branches_False_0.7_0.7_30,False,,False,0.8262529542529543,5.2802344127954974e-251,0.6615695695695696,2.054424777052834e-215,,0.31855385081290866,1.0,1.0,0.33333333333333337,0.5708413192706516,,,,,,,,,-0.32895050995364616,1.1562267850968883e-26,0,0,0.5,1
three_branches_False_0.7_0.7_10,False,,False,0.8467630867630868,8.125468904787214e-276,0.6803683683683683,1.0428548425382771e-227,,0.32679243789968265,1.0,1.0,0.33333333333333337,0.5744968951230432,,,,,,,,,-0.09202445643376951,0.003584204139158126,0,0,0.5,1
three_branches_False_0.7_0.7_50,False,,False,0.8301430461430462,1.8816234112387394e-255,0.6472232232232232,2.910441743084643e-206,,0.31855385081290866,0.5,1.0,0.33333333333333337,0.48001841905339215,0.5129030276374855,3.4423663744034504e-68,0.268438390794286,5.762619289700612e-18,0.32444567154151627,6.067754178999537e-26,0.2850219033819113,3.8109922861374954e-20,-0.319125282957185,4.147899732638584e-25,0.41467549564256473,0.7349401113768558,0.07207207207207206,2
five_branches_False_0.1_0.7_10,False,,False,0.794006858006858,5.9284489674425e-218,0.5702062062062062,1.4779253006324017e-160,,0.34764421083414776,1.0,1.0,0.4,0.6106589803961022,0.5338458790309518,9.442388641802193e-75,,,0.6027715646426359,5.935028642615931e-100,,,0.07076327206111278,0.025238142922880964,0.9999989292228013,0.999998628810316,0.495995995995996,2
five_branches_False_0.1_0.7_30,False,,False,0.7637038397038398,6.923272536889973e-192,0.5624944944944945,2.681867545663173e-156,,0.33120548238451714,1.0,1.0,0.4,0.6033084068559711,0.6592759585655152,9.795211757257659e-126,0.009952906846726426,0.7532531871151303,0.688881827171073,1.2747886035519111e-141,0.0032566417389130226,0.9180776381068623,0.4754539633938148,1.54742812254432e-57,0.9972211121916865,0.9971403419482338,0.4014014014014014,2
three_branches_True_0.1_0.9_10,False,,True,0.019912171912171914,0.529379846295867,0.06391191191191191,0.0024755715755573897,"{""values"": [0.3483355290920379, 0.38206345187728497], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.39266698993742144,3.278695287098695e-38,-0.0493997352189138,0.11848690882830647,0.025507993507993508,0.4203836616050911,0.35782991782991785,1.422021065541971e-31,-0.3346791706791707,1.3485076008532433e-27,0.5069289762531054,0.6505259681671582,0.06389723056389725,3
three_branches_True_0.1_0.9_30,False,,True,0.0787060747060747,0.01278672786837214,0.07885885885885886,0.00018841108407422724,"{""values"": [0.36263262954236447, 0.39680380562845885], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.1642213866716088,1.768733419027368e-07,0.3458881324994465,1.762083003523978e-29,-0.2374020454020454,2.806840275516946e-14,0.5351353391353392,3.596287148758559e-75,-0.5094980694980695,3.639666712614195e-67,0.5014714483833351,0.6558990684501906,0.05055055055055058,3
three_branches_True_0.7_0.7_10,False,,True,0.8457226257226257,1.7977696977123276e-274,0.6800280280280281,1.7533274360361723e-227,"{""values"": [0.21872545192419904, 0.36346232550191676], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.8895154725278793,0.0,-0.8786953627281884,9e-323,0.8777406464657427,3.597e-321,-0.853655869070043,5.490697084664426e-285,0.8659236619236619,1.5466839429496803e-302,0.6697726328635779,0.8809538546877552,0.3208208208208208,3
three_branches_True_0.7_0.7_50,False,,True,0.830028086028086,2.556244327350235e-255,0.6471391391391391,3.2885499812718024e-206,"{""values"": [0.28710215792984245, 0.35807453028076314], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.8528360894050667,7.157477830055883e-284,-0.6460816603589794,3.185973722232281e-119,0.795870747870748,1.0645170190387752e-219,-0.671055035055035,7.795852039264754e-132,0.5696365376365377,4.299128288985324e-87,0.4613654655497434,0.7250782077069977,0.2741074407741074,3
five_branches_True_0.1_0.7_50,False,,True,-0.4075430635430636,2.6795377915393406e-41,-0.3102102102102102,7.598857497905046e-49,"{""values"": [0.4215805566700793, 0.41955144624973506, 0.5424051034699546], ""index"": [""committed"", ""multipotent"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.39584559784725337,7.39794135390455e-39,-0.9478780330420752,0.0,0.26319538769599754,2.6238983091911196e-17,-0.9140711868574062,0.0,0.9200953214996118,0.0,0.711002643960036,0.9228602362710793,-0.14344344344344342,5
three_branches_True_0.7_0.7_30,False,,True,0.8260379860379861,9.230326482313793e-251,0.6613613613613614,2.7985568615674594e-215,"{""values"": [0.2300319927315561, 0.3301384602462065], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.9366286539644805,0.0,-0.776938412016675,9.163895867632131e-203,0.9746663546663548,0.0,-0.8202787482787484,2.1979764149998304e-244,0.7399602679602679,4.641314244653478e-174,0.5387262068865591,0.7786906503854443,0.2694361027694361,3
three_branches_True_0.7_0.7_70,False,,True,0.8172113172113172,4.423124818525103e-241,0.6330370370370371,2.0711013098937468e-197,"{""values"": [0.28723218136166206, 0.3421673307388783], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.8261737493915007,6.4873085834804555e-251,-0.6675294981026484,5.5815179283857315e-130,0.7613139653139653,5.353256477182062e-190,-0.6613761373761375,8.391488344394357e-127,0.6012255132255132,2.5539828272627513e-99,0.47215177390201546,0.7450688929186433,0.26242909576242907,3
five_branches_True_0.1_0.7_70,False,,True,-0.40901781701781703,1.2981765920640873e-41,-0.3149149149149149,2.769200781265891e-50,"{""values"": [0.432417791117446, 0.4046339069970807, 0.532330319926952], ""index"": [""committed"", ""multipotent"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.42190215461990366,1.9757489421543126e-44,-0.9377164733805531,0.0,0.3368705088102316,5.856377662918302e-28,-0.8837662263045806,0.0,0.887206825823031,0.0,0.7021801604210964,0.9207090698519393,-0.14304304304304305,5
