code,failed,n_inferred_terminal_states,fixed_terminal,spearman_stat_pseudotime,spearman_pval_pseudotime,kendall_stat_pseudotime,kendall_pval_pseudotime,jsd,tts,ttp,ttc,tsr,temporal_state_score,pearson_stat_KLD,pearson_pval_KLD,pearson_stat_SHE,pearson_pval_SHE,spearman_stat_KLD,spearman_pval_KLD,spearman_stat_SHE,spearman_pval_SHE,fate_index_stat,fate_index_pval,terminal_silhouette_soft,terminal_silhouette_pse,terminal_enrichment,n_terminal_states
five_branches_False_0.7_0.5_10:30:50,False,,False,0.43695455295455304,7.002672939807219e-48,0.3534814814814815,6.95054038438818e-63,,0.19174536810733092,1.0,1.0,0.19999999999999996,0.4425259258147192,,,,,,,,,0.9415810821926149,0.0,0,0,0.5,1
five_branches_False_0.7_0.5_10:30:30,False,,False,0.43614348414348414,1.0855714103649681e-47,0.35370170170170173,5.833455919946353e-63,,0.19572648661834552,1.0,1.0,0.19999999999999996,0.44480524433148083,,,,,,,,,-0.8594412314061501,4.6865812911732033e-293,0,0,0.5,1
five_branches_True_0.7_0.5_10:30:10,False,,True,0.4362230322230322,1.0399386225166072e-47,0.353945945945946,4.8026088169572385e-63,"{""values"": [0.38454775887341563, 0.27382713172369455, 0.181554734231699], ""index"": [""committed"", ""multipotent"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.5001961356010334,1.99853674326224e-64,-0.40596366040212056,5.799259299547633e-41,0.43422974622974625,3.039877538551549e-47,-0.3330170130170131,2.5273108326342262e-27,0.11736849336849338,0.0001994289988755671,0.3901612924684738,0.6726695626589786,0.14604604604604604,5
five_branches_True_0.7_0.5_10:30:30,False,,True,0.43614348414348414,1.0855714103649681e-47,0.35370170170170173,5.833455919946353e-63,"{""values"": [0.3759660674000241, 0.29400562489640275, 0.18936510402144446], ""index"": [""committed"", ""multipotent"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.49399143256771516,1.206963106742248e-62,-0.3626134349179573,1.945403018531076e-32,0.45705811305811306,9.06871303791733e-53,-0.2961993201993202,1.0638780253012492e-21,0.06201189801189801,0.04994640288388035,0.38846799281834365,0.6065298235734753,0.14264264264264265,5
five_branches_True_0.7_0.5_10:30:50,False,,True,0.436956268956269,6.996171901155598e-48,0.3534854854854855,6.928440446501098e-63,"{""values"": [0.40470648899189254, 0.29107389394813976, 0.15728214914443472], ""index"": [""committed"", ""multipotent"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.4111920424506792,4.4304470415483e-42,-0.42057517389907817,3.905016595353247e-44,0.3580731580731581,1.2862691768955646e-31,-0.3915574635574636,5.492121627497234e-38,0.11866306666306668,0.00016919614093201097,0.34231166325642026,0.549326925345279,0.14204204204204204,5
five_branches_False_0.7_0.5_10:30:70,False,,False,0.4386024666024666,2.863053291917388e-48,0.35784984984984985,2.10777945358234e-64,,0.18757439518672386,1.0,1.0,0.19999999999999996,0.44009951262139063,,,,,,,,,-0.8387374841131245,1.0789075536956611e-265,0,0,0.5,1
five_branches_True_0.7_0.5_10:30:70,False,,True,0.4386021306021306,2.863576896563603e-48,0.3578458458458459,2.114585290874769e-64,"{""values"": [0.3939554139600298, 0.310208776464705, 0.21511420613511775], ""index"": [""committed"", ""multipotent"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.4982262362362036,7.415191432779539e-64,-0.605190393792508,5.954468481982952e-101,0.4345856545856546,2.511337169941389e-47,-0.6347982467982468,6.629804256936247e-114,0.46830816030816036,1.192142764694357e-55,0.330793346970902,0.6512682674592626,0.14944944944944946,5
five_branches_False_0.7_0.5_10:50:30,False,,False,0.4373542493542493,5.63958069958689e-48,0.35611611611611615,8.483742424068518e-64,,0.19572648661834552,1.0,1.0,0.19999999999999996,0.44480524433148083,,,,,,,,,0.769043252163073,3.4617844674173826e-196,0,0,0.5,1
five_branches_False_0.7_0.5_10:50:50,False,,False,0.4377314577314578,4.596254763064518e-48,0.35445845845845847,3.1921639963186974e-63,,0.19174536810733092,1.0,1.0,0.19999999999999996,0.4425259258147192,,,,,,,,,-0.715388742408293,1.465584613610762e-157,0,0,0.5,1
five_branches_False_0.7_0.5_10:50:10,False,,False,0.43592732792732797,1.219868167777398e-47,0.35433833833833833,3.513049895105487e-63,,0.2,1.0,1.0,0.19999999999999996,0.4472135954999579,,,,,,,,,0.5455993513109849,1.218350781395599e-78,0,0,0.5,1
five_branches_True_0.7_0.5_10:50:30,False,,True,0.4373561453561454,5.633788465775423e-48,0.3561201201201201,8.456568189076988e-64,"{""values"": [0.3939664821777303, 0.2640315098089368, 0.1549697716608438], ""index"": [""committed"", ""multipotent"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.4353240528956633,1.6884644750900108e-47,-0.29631914335114184,1.0229480433024944e-21,0.38502938502938505,1.0981820547305406e-36,-0.17774218574218575,1.5244596979185524e-08,0.028122448122448126,0.3743399719703602,0.4260009922395719,0.6630057021655944,0.14464464464464463,5
five_branches_False_0.7_0.5_10:50:70,False,,False,0.43828293028293025,3.406556666229259e-48,0.3551831831831832,1.7898092584605253e-63,,0.18757439518672386,1.0,1.0,0.19999999999999996,0.44009951262139063,,,,,,,,,-0.3458971322873651,1.7558307232615256e-29,0,0,0.5,1
five_branches_True_0.7_0.5_10:50:10,False,,True,0.43593248793248796,1.2164776076755376e-47,0.3543463463463463,3.490691582617577e-63,"{""values"": [0.40204191501512726, 0.2558951525451359, 0.20284025617562298], ""index"": [""committed"", ""multipotent"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.5094486072940722,3.76577587124995e-67,-0.49136988649320973,6.656339430345332e-62,0.462030702030702,4.980665706119712e-54,-0.4810111930111931,4.910544666548031e-59,0.10194544194544196,0.0012458070665516182,0.44293666114485203,0.7170703946511298,0.14224224224224222,5
five_branches_True_0.7_0.5_10:50:50,False,,True,0.43774189774189776,4.5702882843446296e-48,0.3544784784784785,3.1415982516681206e-63,"{""values"": [0.42258206636059104, 0.2917928752623589, 0.1694343545121229], ""index"": [""committed"", ""multipotent"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.4281968059318479,7.481554782089545e-46,-0.5207350896032585,1.3691796518053227e-70,0.3952940512940513,9.589881713643873e-39,-0.5729473769473771,2.593373734581148e-88,0.15332823332823334,1.1079191077021318e-06,0.3476157730842765,0.30122962151849336,0.14224224224224222,5
