donor,algorithm,model,fixed_terminal,f1_cosine,f1_euclidean,pearson_entropy_statistics,pearson_entropy_pvalue,n_terminal_states
donor2,palantir,rna,False,,,-0.7845225439772225,True,6
donor2,palantir,rna,True,0.35790018599793116,0.5794505879048515,-0.49371233943272236,True,
donor2,palantir,multiomics,False,,,-0.7428582343734691,True,2
donor2,palantir,multiomics,True,0.4909034582970877,0.741884890858764,0.062184309502518555,True,
donor1,palantir,rna,True,0.23053129923145252,0.669140598341986,-0.8992816319655212,True,
donor1,palantir,rna,False,,,0.5528536674497626,True,2
donor1,palantir,multiomics,False,,,0.5544581706009849,True,3
donor1,palantir,multiomics,True,0.0,0.01693452841427246,-0.0045948633318474,False,
