albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_kl_statistics,pearson_kl_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean,cpu_time,wall_time,cpu_time_kernel,wall_time_kernel
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,Cellrank Pseudotime Kernel,250,30,5,,hard,0.6537995762495166,5.4158525478909904e-123,0.8233932469732683,8.363518298399095e-248,,,5.281699948999998,29.280579328536987,1.1969276749999995,27.668232440948486
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,Cellrank Pseudotime Kernel,250,50,5,,hard,0.6565868866315651,2.2126794550666265e-124,0.8243557135811435,7.111764520919878e-249,,,6.967097875000004,46.71540188789368,1.5901698990000028,43.160016775131226
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,Cellrank Pseudotime Kernel,250,100,5,,hard,0.6567661696444675,1.7992256789674495e-124,0.8230464971526907,2.0250369325306046e-247,,,4.841730956999996,39.756422996520996,1.3833685289999949,38.626951932907104
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,Cellrank Pseudotime Kernel,500,30,5,,hard,0.6550315925604148,1.323269220654702e-123,0.8232796902086734,1.1175111920794375e-247,,,6.376856167,43.97130799293518,1.4390593219999985,41.46496224403381
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,Cellrank Pseudotime Kernel,500,50,5,,hard,0.6567445467149126,1.8446902479251203e-124,0.8244566483641738,5.487102433311661e-249,,,6.058262457000005,48.62562298774719,1.8405682630000015,47.78769493103027
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,Cellrank Pseudotime Kernel,500,100,5,,hard,0.6563059893190141,3.0587444136817235e-124,0.8230798609223019,1.8600189277674368e-247,,,6.706159898999999,48.66786289215088,1.3297755509999973,44.34718179702759
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,Cellrank Pseudotime Kernel,750,30,5,,hard,0.6545939657582491,2.1846083794237698e-123,0.8228932344204485,2.9916566615759144e-247,,,6.620341429999996,44.88181233406067,1.5407473100000004,42.09648942947388
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,Cellrank Pseudotime Kernel,750,50,5,,hard,0.6567769807940942,1.7769146055085958e-124,0.8243545711897022,7.132663942948234e-249,,,9.078681391999993,40.83854913711548,1.9184861990000002,37.68631172180176
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,Cellrank Pseudotime Kernel,750,100,5,,hard,0.656012844545839,4.286850718637722e-124,0.8231387022226215,1.601006229956276e-247,,,6.013179426999997,31.853249311447144,1.4259104049999962,28.37823510169983
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,50,Cellrank Pseudotime Kernel,250,30,5,,hard,0.6537995762495166,5.4158525478909904e-123,0.8233932469732683,8.363518298399095e-248,,,5.674978067999987,34.23451066017151,1.4142559269999992,32.086015939712524
