code,failed,fixed_terminal,spearman_stat_pseudotime,spearman_pval_pseudotime,kendall_stat_pseudotime,kendall_pval_pseudotime,fate_index_pval,fate_index_stat,n_terminal_states,pearson_pval_KLD,pearson_stat_KLD,pearson_pval_SHE,pearson_stat_SHE,spearman_pval_KLD,spearman_stat_KLD,spearman_pval_SHE,spearman_stat_SHE,temporal_state_score,terminal_enrichment,terminal_silhouette_pse,terminal_silhouette_soft,tsr,ttc,ttp,tts,jsd_totipotent,jsd_multipotent,jsd_committed,committed,totipotent,multipotent
three_branches_True_0.1_0.1_30,False,True,,,,,6.703665892706044e-107,0.619181986290016,3.0,2.325262830467269e-140,0.6866550611805223,2.066150273328264e-96,-0.5940217924519152,4.3657013161259164e-216,0.7919918586706178,1.980230139641427e-123,-0.6546797654893151,0.9816994441931104,0.4552886219552886,0.865039391715612,0.7811243222961799,1.0,0.9637637988869598,1.0,0.9637037995050125,,,,0.06389602382988985,0.36328753399019753,
three_branches_True_0.1_0.1_50,False,True,,,,,6.703665892706044e-107,0.619181986290016,3.0,2.325262830467269e-140,0.6866550611805223,2.066150273328264e-96,-0.5940217924519152,4.3657013161259164e-216,0.7919918586706178,1.980230139641427e-123,-0.6546797654893151,0.9816994441931104,0.4552886219552886,0.865039391715612,0.7811243222961799,1.0,0.9637637988869598,1.0,0.9637037995050125,,,,0.06389602382988985,0.36328753399019753,
three_branches_True_0.1_0.1_70,False,True,,,,,6.703665892706044e-107,0.619181986290016,3.0,2.325262830467269e-140,0.6866550611805223,2.066150273328264e-96,-0.5940217924519152,4.3657013161259164e-216,0.7919918586706178,1.980230139641427e-123,-0.6546797654893151,0.9816994441931104,0.4552886219552886,0.865039391715612,0.7811243222961799,1.0,0.9637637988869598,1.0,0.9637037995050125,,,,0.06389602382988985,0.36328753399019753,
three_branches_True_0.1_0.1_10,False,True,,,,,6.703665892706044e-107,0.619181986290016,3.0,2.325262830467269e-140,0.6866550611805223,2.066150273328264e-96,-0.5940217924519152,4.3657013161259164e-216,0.7919918586706178,1.980230139641427e-123,-0.6546797654893151,0.9816994441931104,0.4552886219552886,0.865039391715612,0.7811243222961799,1.0,0.9637637988869598,1.0,0.9637037995050125,,,,0.06389602382988985,0.36328753399019753,
three_branches_True_0.1_0.3_30,False,True,,,,,8.143525692891875e-199,0.7722368691308859,3.0,1.2657298095828316e-250,0.8259163310432387,1.4393328463432972e-149,-0.7024659066894406,0.0,0.8810031427062388,4.653488774888443e-207,-0.7819240860163321,0.9822599092141088,0.45512178845512175,0.8450433843889857,0.7257193336829859,1.0,0.9649597945673788,1.0,0.9647092801924352,,,,0.09256974490337914,0.32529282596542586,
three_branches_True_0.1_0.3_50,False,True,,,,,8.143525692891875e-199,0.7722368691308859,3.0,1.2657298095828316e-250,0.8259163310432387,1.4393328463432972e-149,-0.7024659066894406,0.0,0.8810031427062388,4.653488774888443e-207,-0.7819240860163321,0.9822599092141088,0.45512178845512175,0.8450433843889857,0.7257193336829859,1.0,0.9649597945673788,1.0,0.9647092801924352,,,,0.09256974490337914,0.32529282596542586,
three_branches_True_0.1_0.3_70,False,True,,,,,8.143525692891875e-199,0.7722368691308859,3.0,1.2657298095828316e-250,0.8259163310432387,1.4393328463432972e-149,-0.7024659066894406,0.0,0.8810031427062388,4.653488774888443e-207,-0.7819240860163321,0.9822599092141088,0.45512178845512175,0.8450433843889857,0.7257193336829859,1.0,0.9649597945673788,1.0,0.9647092801924352,,,,0.09256974490337914,0.32529282596542586,
three_branches_True_0.1_0.3_10,False,True,,,,,8.143525692891875e-199,0.7722368691308859,3.0,1.2657298095828316e-250,0.8259163310432387,1.4393328463432972e-149,-0.7024659066894406,0.0,0.8810031427062388,4.653488774888443e-207,-0.7819240860163321,0.9822599092141088,0.45512178845512175,0.8450433843889857,0.7257193336829859,1.0,0.9649597945673788,1.0,0.9647092801924352,,,,0.09256974490337914,0.32529282596542586,
three_branches_True_0.1_0.5_30,False,True,,,,,2.5675742970916145e-218,0.7943964589360171,3.0,3.277757169966116e-216,0.7921268952740115,1.0290284378784469e-137,-0.6819165902493455,1.928203100001105e-298,0.8631641003059439,6.045232042497281e-228,-0.8044184911432113,0.981443084071554,0.4559559559559559,0.8902776174604662,0.7777180515252762,1.0,0.9637087475527936,1.0,0.962752544297771,,,,0.07149377127368081,0.3956475627437064,
three_branches_True_0.1_0.5_50,False,True,,,,,2.5675742970916145e-218,0.7943964589360171,3.0,3.277757169966116e-216,0.7921268952740115,1.0290284378784469e-137,-0.6819165902493455,1.928203100001105e-298,0.8631641003059439,6.045232042497281e-228,-0.8044184911432113,0.981443084071554,0.4559559559559559,0.8902776174604662,0.7777180515252762,1.0,0.9637087475527936,1.0,0.962752544297771,,,,0.07149377127368081,0.3956475627437064,
