run_wall_time,run_cpu_time,run_mem_peak,code
53.542919017374516,9.842395681000001,27.688261032104492,five_branches_False_0.1_0.7_70.h5ad
53.77387856319547,9.790806739999999,25.437015533447266,three_branches_False_0.1_0.9_10.h5ad
54.23513462767005,9.766703084000001,26.940549850463867,five_branches_False_0.1_0.7_50.h5ad
54.3467489592731,9.765073305000001,26.27785015106201,three_branches_False_0.1_0.9_30.h5ad
54.390281714499,9.806781363,27.68234348297119,three_branches_False_0.7_0.7_70.h5ad
54.866852808743715,9.536347001,26.357935905456543,three_branches_False_0.7_0.7_30.h5ad
55.39340507611632,10.140831711,25.799145698547363,three_branches_False_0.7_0.7_10.h5ad
54.48594990372658,9.324067851,27.008597373962402,three_branches_False_0.7_0.7_50.h5ad
54.68490229919553,9.676300823,25.471123695373535,five_branches_False_0.1_0.7_10.h5ad
54.915918439626694,9.609591252000001,26.210776329040527,five_branches_False_0.1_0.7_30.h5ad
3.3829820938408375,2.889561137000001,12.852984428405762,three_branches_True_0.1_0.9_10.h5ad
3.185334276407957,2.9711004039999978,13.601116180419922,three_branches_True_0.1_0.9_30.h5ad
2.8795361258089542,2.9080602310000003,11.932891845703125,three_branches_True_0.7_0.7_10.h5ad
2.6148461177945137,3.021957523000001,13.731132507324219,three_branches_True_0.7_0.7_50.h5ad
3.0598408728837967,2.953462837,15.122502326965332,five_branches_True_0.1_0.7_50.h5ad
3.2314304001629353,3.055197446000001,12.981964111328125,three_branches_True_0.7_0.7_30.h5ad
3.082949746400118,3.022262216999998,14.520564079284668,three_branches_True_0.7_0.7_70.h5ad
3.5168288201093674,3.155554446,15.719711303710938,five_branches_True_0.1_0.7_70.h5ad
2.561524137854576,3.0569494000000006,13.301915168762207,five_branches_True_0.1_0.7_10.h5ad
2.4318349435925484,3.051800955000001,13.95411491394043,five_branches_True_0.1_0.7_30.h5ad
47.3952905908227,9.241970706999998,27.014249801635742,three_branches_False_0.1_0.9_50.h5ad
51.50280963256955,9.352076768999998,27.74325656890869,three_branches_False_0.1_0.9_70.h5ad
