code,failed,fixed_terminal,spearman_stat_pseudotime,spearman_pval_pseudotime,kendall_stat_pseudotime,kendall_pval_pseudotime,fate_index_pval,fate_index_stat,n_terminal_states,pearson_pval_KLD,pearson_stat_KLD,pearson_pval_SHE,pearson_stat_SHE,spearman_pval_KLD,spearman_stat_KLD,spearman_pval_SHE,spearman_stat_SHE,temporal_state_score,terminal_enrichment,terminal_silhouette_pse,terminal_silhouette_soft,tsr,ttc,ttp,tts,jsd_totipotent,jsd_multipotent,jsd_committed,committed,totipotent,multipotent
three_branches_True_0.1_0.1_30:30:30,False,True,0.11554848754848754,0.000250581367736621,0.05636836836836837,0.007605141931316556,5.173162666944807e-178,0.7454614334614335,3,2.810414582014084e-29,0.3447035825348537,1.2262653758860064e-198,-0.7720225071376128,5.049724574206232e-23,0.30534381336517136,2.0011848662344326e-178,-0.7460274008239883,1.0,0.04788121454788121,0.6361691385821499,0.3300420328564055,1.0,1.0,1.0,1.0,,,,0.23379003503818177,0.11317379728322541,
three_branches_True_0.1_0.1_30:30:50,False,True,0.11955077955077954,0.00015101334072820672,0.056544544544544544,0.0074183349434982235,3.365143005595079e-221,0.7974570054570055,3,9.576358151964163e-13,0.22310341296742106,6.216234524409963e-217,-0.7929082181936263,5.666095090126283e-22,0.2981166756014472,2.7535309782424552e-216,-0.7922089534700059,1.0,0.054888221554888206,0.6763660953740229,0.39416557959168896,1.0,1.0,1.0,1.0,,,,0.20244575082788313,0.19827152239705995,
three_branches_True_0.1_0.1_30:30:70,False,True,0.24387888387888387,5.2461128178842725e-15,0.17448648648648651,1.430595566071324e-16,0.0,0.9615493045935233,3,1.0688359488394692e-36,0.3850890786688042,0.0,-0.958026474741009,4.3903632613254935e-74,0.5317814598001548,0.0,-0.9017576664579505,1.0,0.13363363363363365,0.8274888703150111,0.6297301524909915,1.0,1.0,1.0,1.0,,,,0.1702395885675804,0.42976468178233274,
three_branches_True_0.1_0.1_30:30:10,False,True,0.11585205185205186,0.00024127265749748447,0.0638998998998999,0.002480232855443337,1.7875962036284756e-69,0.5171198051198052,3,3.488999929147208e-71,0.522641282578352,4.295945359246011e-121,-0.6499388768673408,1.6817740926541881e-41,0.40849181946693425,5.938801328313636e-67,-0.5087863011109364,1.0,0.04287620954287622,0.5982940762095365,0.3301283513482251,1.0,1.0,1.0,1.0,,,,0.25273060188062424,0.10279985875541925,
three_branches_True_0.1_0.1_30:50:30,False,True,0.10997962997962998,0.0004938222823092718,0.05560760760760761,0.008461144019690498,1.8366551257294764e-93,0.5865258225258226,3,4.738468817991268e-13,0.2260311983119046,1.6802894617222255e-126,-0.6607844219517475,2.1753326176036526e-16,0.25567780329751727,1.0630687538776145e-115,-0.6386596759337041,1.0,0.04087420754087423,0.6892023239412898,0.6004960951601965,1.0,1.0,1.0,1.0,,,,0.18162448945994913,0.3649145267034304,
three_branches_True_0.1_0.1_30:50:50,False,True,0.1207025287025287,0.00013015137209605534,0.05786186186186187,0.006147026249482188,1.6709057199176918e-304,0.8672271152271153,3,2.654702554869255e-07,0.16187286819201557,2.2954731325696844e-270,-0.8424976055536153,3.5346974884410037e-22,0.29954334571320973,2.2850985772154233e-307,-0.8691010847088363,1.0,0.050884217550884216,0.7383785400876285,0.4319499467412566,1.0,1.0,1.0,1.0,,,,0.21022478720989407,0.24144629351667465,
three_branches_True_0.1_0.1_30:50:70,False,True,0.12497503697503698,7.411927084732004e-05,0.062102102102102104,0.0032756177741733185,1.7593828e-316,0.8748766788766789,3,5.155080286140843e-13,0.22568267797266428,1.524501931140726e-306,-0.8685647357701237,1.5811028063147404e-20,0.28781656101568825,2e-323,-0.8790628073640092,1.0,0.05755755755755754,0.6926221343097444,0.416449947333276,1.0,1.0,1.0,1.0,,,,0.20036524813057602,0.22386324503365207,
three_branches_True_0.1_0.1_30:50:10,False,True,0.10937432537432538,0.0005306390911868556,0.06153353353353353,0.0035718191814058716,1.332372880918207e-84,0.5627540147540148,3,2.2247068089367593e-82,0.556474004644214,6.072124835052341e-140,-0.6859145019032137,4.0221474872768737e-69,0.515969591695871,1.6660301536472135e-82,-0.5568324547013142,1.0,0.03653653653653651,0.6416568939945161,0.3899291660567029,1.0,1.0,1.0,1.0,,,,0.233663863775778,0.10680937634667301,
three_branches_True_0.1_0.1_30:70:30,False,True,0.11061717861717862,0.0004576256948866125,0.0566926926926927,0.007264444255007498,7.066206604395611e-106,0.6168255648255649,3,3.4627578170732583e-51,0.45069791458470404,2.666927383253776e-124,-0.6564249411004431,4.294923474169531e-37,0.38709121471189534,1.6945424239452612e-103,-0.6112644035680962,1.0,0.03887220553887222,0.594416206157507,0.3264822627425176,1.0,1.0,1.0,1.0,,,,0.24488334184078991,0.09263176221298147,
three_branches_True_0.1_0.1_30:70:50,False,True,0.1201130761130761,0.0001404638592530413,0.058522522522522526,0.005586436346207066,2.64444e-319,0.8766095886095887,3,7.345509527023419e-10,0.1931524986295769,3.1476463480914486e-303,-0.8663835356389243,2.3621256674322213e-40,0.40306876614667925,5.057041716828245e-300,-0.8642367174903894,1.0,0.04320987654320987,0.784973295162012,0.5002359537265941,1.0,1.0,1.0,1.0,,,,0.19586753044863078,0.2537006882872858,
