albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_pseudotime_statistics,pearson_pseudotime_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,250,30,,,,0.9081682401502148,0.0,0.9111432711432711,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,30,palantir,250,30,,,,0.9081931753333826,0.0,0.9111369711369712,0.0,-0.722760026114728,2.5357868496394853e-162,0.3034094604596199,0.5163942704677215
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,250,50,,,,0.9100198941975628,0.0,0.9136704016704016,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,30,palantir,250,50,,,,0.9100263865843696,0.0,0.9136402096402096,0.0,-0.5992244549045437,1.6688293355896368e-98,0.32960124140347974,0.5379322831829142
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,250,100,,,,0.9156920657997505,0.0,0.9211805251805253,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,30,palantir,250,100,,,,0.9156995378998027,0.0,0.9212291372291374,0.0,-0.5211352969247282,1.0282837067639573e-70,0.25533745074021497,0.4751209157144333
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,500,30,,,,0.9080765599334302,0.0,0.9116997596997598,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,30,palantir,500,30,,,,0.9080766987760966,0.0,0.9117038637038636,0.0,-0.6969476119173663,2.7573630469072985e-146,0.3921010839101829,0.5883370540532344
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,500,50,,,,0.909862109672477,0.0,0.913781245781246,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,30,palantir,500,50,,,,0.9098580863212472,0.0,0.9137756777756779,0.0,-0.6219663434901298,4.040114941332285e-108,0.31626670106044535,0.5271580827374363
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,500,100,,,,0.9159431287800791,0.0,0.9207711447711449,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,30,palantir,500,100,,,,0.9159415360628324,0.0,0.9207744807744808,0.0,-0.44298344564074754,2.592469353849329e-49,0.24883460494601384,0.46958109296754463
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,750,30,,,,0.907927184814546,0.0,0.9116132036132037,0.0,-0.26923530690947844,4.5632556141966305e-18,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,30,palantir,750,30,,,,0.9079305571111969,0.0,0.9116221796221796,0.0,-0.748303417793825,4.2797259495879865e-180,0.3590958948262896,0.5628901083744763
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,750,50,,,,0.90974683710279,0.0,0.9141535101535103,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,30,palantir,750,50,,,,0.9097471623576652,0.0,0.9141521421521421,0.0,-0.6716222105960638,3.899923198756675e-132,0.295764278351571,0.5099973563401
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,750,100,,,,0.9159601539204159,0.0,0.920896484896485,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,30,palantir,750,100,,,,0.9159681794307387,0.0,0.9209122889122889,0.0,-0.47883381924624413,1.9122191210037435e-58,0.2928576214633641,0.5086276133966711
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,250,30,,,,0.9100686211160811,0.0,0.9176752136752135,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,palantir,250,30,,,,0.9101365753875718,0.0,0.9177730737730738,0.0,-0.7293592798407722,1.0182382436360879e-166,0.28753581951334267,0.5045603131889836
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,250,50,,,,0.909513592072201,0.0,0.9202115242115242,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,palantir,250,50,,,,0.9094968043990114,0.0,0.920134088134088,0.0,-0.6207115387826674,1.437765532820851e-107,0.24340034585124776,0.46542770402130784
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,250,100,,,,0.9007956958137064,0.0,0.9160287880287882,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,palantir,250,100,,,,0.9008296095168796,0.0,0.9161029241029243,0.0,-0.7647432311242881,1.0281235376276095e-192,0.3102164275830994,0.5217824720273126
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,500,30,,,,0.9093756071413547,0.0,0.9165210525210526,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,palantir,500,30,,,,0.9093799815029873,0.0,0.9165185445185445,0.0,-0.7787568780909957,2.5631948201084637e-204,0.24540432842061496,0.4677766884501851
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,500,50,,,,0.9091740949849423,0.0,0.9194539994539996,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,palantir,500,50,,,,0.9091862143175999,0.0,0.9194692514692515,0.0,-0.6419832023265126,2.8900791674349914e-117,0.24456798615521053,0.46656672312583053
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,500,100,,,,0.9005830839748682,0.0,0.9161115401115403,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,palantir,500,100,,,,0.900591936686229,0.0,0.9161003921003922,0.0,-0.46098049902236643,9.229710937344384e-54,0.24583905078156543,0.4671055147033639
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,750,30,,,,0.9093510039295328,0.0,0.9164673524673527,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,palantir,750,30,,,,0.9093507457995288,0.0,0.9164759084759085,0.0,-0.7553244180305461,2.3167024002510294e-185,0.13288632565391356,0.3522402704321946
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,750,50,,,,0.9088922952411425,0.0,0.9190736350736352,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,palantir,750,50,,,,0.9089101104623215,0.0,0.9191033831033831,0.0,-0.6595700406521956,6.951828721137344e-126,0.2408875199906471,0.464656168228004
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,palantir,750,100,,,,0.9002872912248583,0.0,0.9156886476886479,0.0,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,palantir,750,100,,,,0.9003087855750569,0.0,0.9157092517092517,0.0,-0.4959538173241114,3.329454613435065e-63,0.24997304314989444,0.47141869213225807
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,250,30,,,,0.8311735454650281,1.1945737990251726e-256,0.7943698463698464,2.7187680411246185e-218,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,palantir,250,30,,,,0.8312709797320195,9.195724943506731e-257,0.7944369384369384,2.3535247026660746e-218,-0.6611608940407553,1.0804610477824844e-126,0.3931738295289994,0.5930130611862487
