albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_kl_statistics,pearson_kl_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,cellrank_pseudotime_kernel,250,100,5,,hard,0.3237548036418934,7.805055144583351e-26,,,0.652914367459257,1.484690403559661e-122,,0.4712116456600526
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,cellrank_pseudotime_kernel,250,100,5,,hard,0.6633962195249341,7.747779323488951e-128,,,0.8632583218904135,1.4021366749015647e-298,0.2820866159960319,0.47430060910538513
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,cellrank_pseudotime_kernel,500,30,5,,hard,0.4604839116194056,1.2346384194881462e-53,,,0.7158047623409557,7.967221578781934e-158,,0.47430060910538513
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,cellrank_pseudotime_kernel,500,30,5,,hard,0.6246782769401118,2.548590593048543e-109,,,0.8405036511230863,7.137946014135843e-268,0.2749848481890067,0.4654528169122493
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,cellrank_pseudotime_kernel,500,50,5,,hard,0.45796243016955823,5.369085150421359e-53,,,0.7196293297207959,2.7880346027578263e-160,,0.4654528169122493
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,cellrank_pseudotime_kernel,500,50,5,,hard,0.6192484615790617,6.270907211336763e-107,,,0.8374604291100481,3.912837497962198e-264,0.2803828808819938,0.4719976573015431
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,cellrank_pseudotime_kernel,500,100,5,,hard,0.33005980033911,7.653966478043515e-27,,,0.6554835725742316,7.877711613314025e-124,,0.4719976573015431
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,cellrank_pseudotime_kernel,500,100,5,,hard,0.6652417612301643,8.64602626572224e-129,,,0.8645407329555328,1.7916439659408286e-300,0.2791769738872321,0.4703139645332013
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,cellrank_pseudotime_kernel,750,30,5,,hard,0.4600312235357946,1.6089418681099409e-53,,,0.715450354340264,1.3391791081895223e-157,,0.4703139645332013
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,cellrank_pseudotime_kernel,750,30,5,,hard,0.6244342332671191,3.271751869018092e-109,,,0.8404358906838627,8.663198388390075e-268,0.2744668181977549,0.46466991465054924
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,cellrank_pseudotime_kernel,750,50,5,,hard,0.45996615081098885,1.6713106359007086e-53,,,0.7190446383748939,6.659171254134759e-160,,0.46466991465054924
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,cellrank_pseudotime_kernel,750,50,5,,hard,0.6190415545794508,7.718183084724859e-107,,,0.8375090753677995,3.4145584520545407e-264,0.28022829949836536,0.47166411537192143
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,50,cellrank_pseudotime_kernel,750,100,5,,hard,0.45376823641910613,6.025096273989021e-52,,,0.6798815000532916,1.3597210841959987e-136,,0.47166411537192143
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,50,cellrank_pseudotime_kernel,750,100,5,,hard,0.6637579194241631,5.047361100984105e-128,,,0.8623165193307456,3.3510460790356925e-297,0.27830056994897306,0.47135439508946814
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,cellrank_pseudotime_kernel,250,30,5,,hard,0.49271531098445503,2.7763099346575722e-62,,,0.6736282446539681,3.3245650598881345e-133,,0.47135439508946814
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,cellrank_pseudotime_kernel,250,30,5,,hard,0.6784559983388723,8.189787002114098e-136,,,0.8013484434382161,6.156922948461095e-225,0.25068958470873404,0.4679096585338251
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,cellrank_pseudotime_kernel,250,50,5,,hard,0.4816005989104999,3.3929298836304598e-59,,,0.6800649364493362,1.0783958681132306e-136,,0.4679096585338251
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,cellrank_pseudotime_kernel,250,50,5,,hard,0.6888851133711889,1.2693130142712207e-141,,,0.8091635118449629,1.0604245223086098e-232,0.25048666337129866,0.46762026505539117
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,cellrank_pseudotime_kernel,250,100,5,,hard,0.4668033568750339,2.9375046538934387e-55,,,0.6826152876632103,4.221240053793418e-138,,0.46762026505539117
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,cellrank_pseudotime_kernel,250,100,5,,hard,0.7013419009809401,6.805657304499265e-149,,,0.8147892399808511,1.6244766135537467e-238,0.2499233364873383,0.4666491205082621
