albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_pseudotime_statistics,pearson_pseudotime_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,250,100,,,,0.8078170374640666,2.4464263011111122e-231,,1.4429148708311032e-201,-0.8610996524410222,1.9546480778286479e-295,0.26463144138522493,0.4010274550884694,0.7755250395250395,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,500,30,,,,0.8031920921641916,9.758719175758435e-227,,1.7341429921692156e-197,,,0.26463144138522493,0.4010274550884694,0.7706295026295027,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,500,30,,,,0.8032594861432315,8.379788813458845e-227,,1.3049085373418932e-197,-0.5841027949179731,1.588011840547371e-92,0.10500313104792974,0.26061255380304976,0.7707795147795149,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,500,50,,,,0.8064937555755476,5.219451955738961e-230,,1.5852220756310607e-199,,,0.10500313104792974,0.26061255380304976,0.7730915330915331,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,500,50,,,,0.8064899659075891,5.265218865321897e-230,,1.4317601765238835e-199,-0.7041384661225959,1.4069091089568104e-150,0.14090052536338254,0.29610994717274874,0.7731445851445852,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,500,100,,,,0.8079858034130867,1.6530311011378036e-231,,3.105941625176601e-201,,,0.14090052536338254,0.29610994717274874,0.7751301071301072,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,500,100,,,,0.8079684520024509,1.7210478007851577e-231,,2.652202863325327e-201,-0.6428149242159731,1.1642750497718696e-117,0.2985061320167697,0.43031552571264303,0.7752115272115272,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,750,30,,,,0.8033424653798732,6.946053893106001e-227,,2.147486850381603e-197,-0.3998877076825759,1.0879555636459845e-39,0.2985061320167697,0.43031552571264303,0.7705166545166545,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,750,30,,,,0.8033857866798824,6.29761723013572e-227,,1.7553289278579737e-197,-0.45603400017294043,1.6387880641733041e-52,0.29669327765086484,0.4503025137365803,0.7706230946230946,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,750,50,,,,0.8066518163332081,3.6258664917616847e-230,,1.8420127966570113e-199,,,0.29669327765086484,0.4503025137365803,0.773013281013281,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,750,50,,,,0.8066363113114474,3.757839695591335e-230,,1.920197701748679e-199,-0.6437416941849436,4.213364717879625e-118,0.1988134753815915,0.3533570616645613,0.772991608991609,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,750,100,,,,0.8080567411578568,1.4017433468151494e-231,,5.303914904357687e-201,,,0.1988134753815915,0.3533570616645613,0.7748539628539629,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,750,100,,,,0.8080576752711316,1.3987023516540262e-231,,4.655328049182745e-201,-0.6307489048348243,4.74776860309321e-112,0.21233690100314104,0.36352416949533917,0.774921306921307,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,250,30,,,,0.5436754727460283,5.407240592904684e-78,,7.751982993318838e-63,,,0.21233690100314104,0.36352416949533917,0.4946674946674947,True
