albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_pseudotime_statistics,pearson_pseudotime_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,250,30,,,,0.6677044713201827,4.521632801016952e-130,0.6250785010785012,1.6911685633294264e-109,,,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,250,30,,,,0.6676845686171853,4.6312839911439905e-130,0.6250974610974612,1.6586036158417625e-109,-0.6536867352722061,6.15996848879609e-123,0.4057351061985518,0.5996000662274145
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,250,50,,,,0.6631494426034166,1.0375451118092544e-127,0.617863805863806,2.50945386357189e-106,,,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,250,50,,,,0.6631460368747463,1.0417331838258237e-127,0.617902793902794,2.4135857786834127e-106,-0.4724974157647708,9.454874082861321e-57,0.4031012685356531,0.5970861214212649
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,250,100,,,,0.6656261456959184,5.4651480522124044e-129,0.6188900108900109,8.985158784898594e-107,,,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,250,100,,,,0.6655569067633127,5.93619700898027e-129,0.6188273708273708,9.567544392344803e-107,-0.5128610626822165,3.544465805598438e-68,0.44771229098966714,0.632728926875054
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,500,30,,,,0.668160098597236,2.6112567275314465e-130,0.6265972465972466,3.547522247279898e-110,-0.18495213201731886,3.8087740309231e-09,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,500,30,,,,0.6681498117028762,2.643855676317329e-130,0.6265930705930707,3.562831319931019e-110,-0.6816233920581157,1.4945079975340016e-137,0.39974835458799857,0.5948793586614597
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,500,50,,,,0.6637208173683491,5.274329489194582e-128,0.6194740514740515,4.9994869768438953e-107,,,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,500,50,,,,0.6636975614907866,5.421752670944933e-128,0.6194908754908756,4.9156776145651665e-107,-0.6153209822082222,3.14603474392799e-105,0.3696482879342995,0.5703861403994719
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,500,100,,,,0.6662657105551987,2.543752896725225e-129,0.6203091443091444,2.157489074345299e-107,,,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,500,100,,,,0.6662282470969063,2.6604342923920437e-129,0.6202853962853963,2.2097488165410268e-107,-0.268391269141057,5.842541982876627e-18,0.4866904941592006,0.6639610216393672
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,750,30,,,,0.6679773039749717,3.2550924888744914e-130,0.6260115140115141,6.485667321094048e-110,,,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,750,30,,,,0.6679712864221222,3.278785795360867e-130,0.6260101940101941,6.494482381522232e-110,-0.6178534459491734,2.5355598562837184e-106,0.467381476026879,0.6486042056513829
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,750,50,,,,0.6635908280838013,6.152812769785407e-128,0.6187136827136828,1.0722271162364443e-106,,,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,750,50,,,,0.6635847650533517,6.197172203943296e-128,0.6186855186855187,1.1029172198757337e-106,-0.6804083040336278,6.984518142956525e-137,0.37334966674803427,0.5734678003946656
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,750,100,,,,0.66622917015913,2.657496261518803e-129,0.6201618321618323,2.50271525777512e-107,,,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,750,100,,,,0.6662124468610721,2.7112301305444282e-129,0.6201457041457042,2.5437057319498504e-107,-0.2963017968595529,1.0287756138256633e-21,0.5349345831572616,0.7027074885184957
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,50,palantir,250,30,,,,0.6677044713201827,4.521632801016952e-130,0.6250785010785012,1.6911685633294264e-109,,,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,50,palantir,250,30,,,,0.6676845686171853,4.6312839911439905e-130,0.6250974610974612,1.6586036158417625e-109,-0.6536867352722061,6.15996848879609e-123,0.4057351061985518,0.5996000662274145
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,50,palantir,250,50,,,,0.6631494426034166,1.0375451118092544e-127,0.617863805863806,2.50945386357189e-106,,,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,50,palantir,250,50,,,,0.6631460368747463,1.0417331838258237e-127,0.617902793902794,2.4135857786834127e-106,-0.4724974157647708,9.454874082861321e-57,0.4031012685356531,0.5970861214212649
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,50,palantir,250,100,,,,0.6656261456959184,5.4651480522124044e-129,0.6188900108900109,8.985158784898594e-107,,,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,50,palantir,250,100,,,,0.6655569067633127,5.93619700898027e-129,0.6188273708273708,9.567544392344803e-107,-0.5128610626822165,3.544465805598438e-68,0.44771229098966714,0.632728926875054
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,50,palantir,500,30,,,,0.668160098597236,2.6112567275314465e-130,0.6265972465972466,3.547522247279898e-110,-0.18495213201731886,3.8087740309231e-09,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,50,palantir,500,30,,,,0.6681498117028762,2.643855676317329e-130,0.6265930705930707,3.562831319931019e-110,-0.6816233920581157,1.4945079975340016e-137,0.39974835458799857,0.5948793586614597
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,50,palantir,500,50,,,,0.6637208173683491,5.274329489194582e-128,0.6194740514740515,4.9994869768438953e-107,,,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,50,palantir,500,50,,,,0.6636975614907866,5.421752670944933e-128,0.6194908754908756,4.9156776145651665e-107,-0.6153209822082222,3.14603474392799e-105,0.3696482879342995,0.5703861403994719
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,50,palantir,500,100,,,,0.6662657105551987,2.543752896725225e-129,0.6203091443091444,2.157489074345299e-107,,,,
phyla3,1000,GRN_100,0.1,0.1,rna,True,30,30,50,palantir,500,100,,,,0.6662282470969063,2.6604342923920437e-129,0.6202853962853963,2.2097488165410268e-107,-0.268391269141057,5.842541982876627e-18,0.4866904941592006,0.6639610216393672
phyla3,1000,GRN_100,0.1,0.1,rna,False,30,30,50,palantir,750,30,,,,0.6679773039749717,3.2550924888744914e-130,0.6260115140115141,6.485667321094048e-110,,,,
